date,agent_id,agent_name,language,queue,productive_hours,in_work_shrinkage_hours,absence_hours,WORK,LUNCH,BREAK,VAC,OTHER,PERFORMANCE_TALK,PARTNER_TRAINING,OFF,utilization_status
2024-01-01,A001,Name01 Surname01,DE,Sales,7.5,1.5,0.0,9.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,FULL_PRODUCTIVE
2024-01-01,A002,Name02 Surname02,DE,Customer Service,7.5,1.5,0.0,9.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,FULL_PRODUCTIVE
2024-01-01,A003,Name03 Surname03,DE,Sales,7.5,1.5,0.0,9.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,FULL_PRODUCTIVE
2024-01-01,A004,Name04 Surname04,DE,Customer Service,7.5,1.5,0.0,9.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,FULL_PRODUCTIVE
2024-01-01,A005,Name05 Surname05,DE,Sales,7.5,1.5,0.0,9.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,FULL_PRODUCTIVE
2024-01-01,A006,Name06 Surname06,DE,Customer Service,7.5,1.5,0.0,9.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,FULL_PRODUCTIVE
2024-01-01,A007,Name07 Surname07,FR,Sales,7.5,1.5,0.0,9.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,FULL_PRODUCTIVE
2024-01-01,A008,Name08 Surname08,FR,Customer Service,7.5,1.5,0.0,9.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,FULL_PRODUCTIVE
2024-01-01,A009,Name09 Surname09,FR,Sales,7.5,1.5,0.0,9.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,FULL_PRODUCTIVE
2024-01-01,A010,Name10 Surname10,FR,Customer Service,7.5,1.5,0.0,9.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,FULL_PRODUCTIVE
2024-01-01,A011,Name11 Surname11,FR,Sales,7.5,1.5,0.0,9.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,FULL_PRODUCTIVE
